bvp_mean,bvp_std,temp_mean,temp_std,acc_mag_mean,acc_mag_std,emotion
-0.4423,18.5302,35.179,0.0179,63.2161,0.0774,Shanta
-0.7773,26.0103,33.456,0.0156,63.1899,0.2411,Hasya
-0.1235,10.8649,31.216,0.0092,63.4715,0.1981,Hasya
-0.1017,33.0629,34.774,0.008,63.1263,0.1298,Shanta
1.3498,20.9495,30.852,0.0108,63.0149,1.2323,Hasya
0.0372,4.0894,30.884,0.0156,62.4786,0.1646,Hasya
0.5372,53.1443,32.728,0.0108,64.1033,0.0227,Hasya
-2.4662,84.5236,33.676,0.008,62.8666,1.5604,Bhayanaka
0.7578,25.8224,32.77,0.0126,65.4969,7.0336,Bhayanaka
0.0957,13.6331,34.336,0.0049,63.2857,0.0081,Hasya
0.0765,16.6891,31.1,0.0134,63.1786,0.4309,Hasya
-0.2537,11.9895,34.026,0.0224,63.0127,0.1409,Shanta
-0.2883,27.1799,32.876,0.0092,65.1115,0.2177,Shanta
-0.469,14.9341,34.07,0.0126,63.1779,7.5779,Bhayanaka
0.3286,8.6604,30.978,0.0098,64.1105,1.3426,Hasya
0.9671,24.5081,30.358,0.0098,63.8051,0.4519,Shanta
0.5385,17.8124,32.978,0.0098,62.9655,1.0093,Bhayanaka
0.7627,20.0761,32.98,0.01,62.9673,0.4355,Bhayanaka
-2.055,36.7726,33.503,0.009,62.9836,0.3012,Hasya
1.0127,41.6131,34.896,0.0128,63.5196,4.7839,Shanta
0.441,10.4671,29.924,0.0143,62.9265,0.4037,Shanta
0.3669,5.1215,33.118,0.0098,62.7061,0.7533,Hasya
0.1014,8.4976,31.909,0.0118,64.461,0.4583,Hasya
1.7892,57.5973,34.09,0.02,63.4135,7.2956,Bhayanaka
0.4272,54.1345,32.75,0.0126,64.3714,0.0697,Hasya
-0.0966,7.3928,32.903,0.0095,65.1313,0.3552,Hasya
-5.8982,41.471,30.227,0.0145,62.8548,3.6874,Shanta
0.8105,25.7433,31.2,0.01,63.0826,0.1389,Shanta
-2.3412,61.0107,33.606,0.008,63.1595,4.2939,Shanta
-0.1308,8.6838,32.974,0.008,62.6528,0.4716,Bhayanaka
0.2352,4.449,30.556,0.0143,63.0134,0.4807,Shanta
-0.1275,4.6386,30.302,0.0098,62.9265,0.3194,Hasya
-0.7987,23.8317,34.995,0.005,62.7085,0.4196,Hasya
-0.1386,9.1622,34.316,0.0174,62.7224,0.2553,Shanta
-2.3011,43.8651,33.866,0.0224,63.2126,2.2456,Bhayanaka
0.2185,23.0966,34.692,0.0248,63.0483,0.1891,Shanta
0.0462,23.4778,29.999,0.0173,62.8549,0.7715,Bhayanaka
1.2808,39.855,33.518,0.0147,62.5268,0.5771,Shanta
-0.7482,10.8837,33.327,0.0071,62.6932,0.0126,Shanta
-0.3322,12.1975,31.698,0.0098,62.8693,0.4465,Hasya
0.7417,10.7187,35.02,0.0184,62.7883,0.1285,Shanta
0.2653,21.9544,34.102,0.016,63.7375,0.2463,Hasya
0.6082,17.078,30.838,0.0098,64.0097,1.3246,Hasya
0.5788,16.8859,33.864,0.012,62.8313,0.9408,Bhayanaka
1.4757,56.4108,34.004,0.0136,64.508,7.8935,Shanta
-0.0114,1.2713,33.086,0.008,64.7425,0.7084,Bhayanaka
0.0363,17.6461,33.414,0.008,64.2372,0.16,Shanta
1.107,49.7556,32.742,0.0098,64.1141,0.0916,Hasya
0.0964,4.6985,31.494,0.008,65.5397,0.2985,Shanta
-0.0687,30.0688,33.074,0.008,62.9978,0.3367,Bhayanaka
0.0058,4.7712,30.462,0.016,62.9109,0.0777,Hasya
-3.9864,65.6006,33.95,0.0,62.7635,0.8977,Bhayanaka
0.5457,38.1085,32.014,0.0196,64.1027,5.2432,Shanta
1.3412,65.9281,33.21,0.0,62.9721,1.2303,Bhayanaka
-0.2846,24.471,32.507,0.0155,62.9497,1.807,Bhayanaka
11.1654,216.6315,34.341,0.0151,64.0333,10.7586,Bhayanaka
-0.0841,6.5508,30.702,0.016,62.7479,0.2044,Shanta
0.6661,15.5796,33.1925,0.0205,63.5162,0.6824,Bhayanaka
1.1941,16.3397,32.95,0.0,64.2944,0.7899,Bhayanaka
-0.1623,7.9646,33.949,0.0223,63.0315,0.3329,Shanta
-0.096,3.8064,29.982,0.0098,62.8321,0.3394,Hasya
-0.4853,6.073,30.92,0.01,63.0379,0.4167,Shanta
0.3158,32.9427,31.782,0.0204,62.7025,1.0059,Hasya
-0.0178,3.922,30.435,0.0153,63.3492,0.1124,Hasya
-0.5989,80.2224,34.318,0.0098,63.7191,2.3661,Shanta
0.4801,17.0339,33.23,0.0126,65.6106,14.9476,Bhayanaka
-0.2291,12.1943,33.178,0.0183,62.893,0.431,Shanta
-0.2116,25.8742,34.924,0.0092,62.7264,0.5857,Hasya
-0.0692,15.3255,32.896,0.0092,62.9656,0.3087,Bhayanaka
0.4268,16.162,32.416,0.0092,62.874,0.8029,Bhayanaka
-0.4403,31.3865,32.746,0.015,64.8777,5.6371,Bhayanaka
-0.0328,18.6086,33.056,0.0092,62.7543,0.5282,Bhayanaka
-0.093,13.8925,32.879,0.0181,63.053,0.9683,Bhayanaka
-0.4137,18.1934,32.318,0.0125,62.5828,0.6965,Hasya
-0.5096,46.2022,33.594,0.015,63.0805,3.2462,Bhayanaka
-0.2343,12.7634,31.922,0.0098,64.525,0.3685,Hasya
-0.0528,3.2214,32.81,0.0,65.4063,1.2029,Bhayanaka
-2.7438,26.3955,32.497,0.0046,62.9243,1.9454,Bhayanaka
-0.4353,7.3751,31.994,0.0049,64.2136,0.3181,Hasya
0.6778,26.7246,32.257,0.0095,65.4331,3.591,Shanta
0.3131,5.6237,32.426,0.008,62.3731,0.2849,Hasya
0.0384,8.0156,31.942,0.016,64.3946,0.1959,Hasya
0.213,22.6119,33.15,0.011,66.4664,12.7893,Bhayanaka
-0.2471,5.5878,33.142,0.0098,64.5859,0.3326,Shanta
0.1209,50.4119,31.07,0.0,63.4302,6.6535,Bhayanaka
0.1337,5.4526,32.746,0.008,65.5001,5.9373,Bhayanaka
-0.2764,11.4524,31.214,0.008,63.2052,0.3497,Hasya
-0.7764,56.8575,32.748,0.006,64.171,0.2991,Hasya
0.5096,33.4955,33.511,0.0158,63.0285,0.2068,Hasya
-2.7324,97.9921,34.4845,0.0124,63.4192,0.0,Hasya
0.2238,4.7849,32.722,0.0098,65.8195,6.3087,Bhayanaka
-0.1738,4.8496,30.122,0.016,62.8786,0.0162,Shanta
0.2018,61.1279,33.27,0.0126,62.7866,3.4368,Bhayanaka
-0.0285,1.7509,32.128,0.0108,64.6079,0.8108,Bhayanaka
-1.3138,165.6497,34.2245,0.0124,62.407,0.4912,Bhayanaka
0.2257,6.4232,31.066,0.008,62.4744,2.5086,Bhayanaka
-0.078,12.3103,31.046,0.015,63.4184,0.3138,Hasya
-0.1033,8.4412,31.946,0.008,64.3124,0.3914,Hasya
-4.921,42.7476,30.059,0.0161,62.9264,0.8024,Bhayanaka
0.646,29.919,30.884,0.0156,62.4471,0.6207,Hasya
0.2458,38.8912,33.622,0.0098,62.4425,1.2656,Bhayanaka
-0.4814,12.2584,33.986,0.008,63.0943,0.3261,Shanta
0.7044,65.7619,30.81,0.0126,64.9405,8.4007,Shanta
-0.7625,27.3431,33.794,0.008,62.697,0.3728,Shanta
1.3016,30.5388,33.492,0.004,63.0579,0.1149,Hasya
0.3951,8.2264,32.838,0.004,62.9199,0.4659,Bhayanaka
-0.2274,34.5999,34.8465,0.0168,63.0188,0.0785,Hasya
0.0596,6.7707,31.578,0.0098,65.5848,0.1588,Shanta
-12.9024,191.267,33.032,0.006,62.7865,1.4446,Bhayanaka
-2.1118,37.0096,29.852,0.0125,62.6351,2.2734,Shanta
2.6058,99.8291,34.991,0.0083,63.4115,7.7251,Hasya
-0.0891,3.0834,29.962,0.0098,62.8046,0.3798,Hasya
6.865,172.2928,33.897,0.0261,63.364,10.2427,Bhayanaka
-0.4476,23.8617,34.898,0.016,62.4576,0.379,Hasya
-0.852,32.2548,34.592,0.0189,63.165,2.9013,Shanta
-0.219,9.5608,33.595,0.0087,63.3442,0.4222,Shanta
3.0075,26.8853,30.176,0.0143,63.0775,0.3385,Bhayanaka
0.0328,5.008,30.302,0.0098,62.9388,0.3334,Hasya
0.567,25.1742,32.064,0.0156,63.7404,1.2807,Bhayanaka
-0.1259,7.4457,29.643,0.0158,62.423,0.361,Shanta
-0.0903,5.9169,33.406,0.008,62.6254,0.2335,Hasya
0.7793,25.0231,31.722,0.016,62.4241,1.6533,Hasya
-3.9988,163.9836,34.918,0.016,63.2596,0.5156,Shanta
0.8426,17.2399,31.848,0.014,63.1161,0.2612,Shanta
0.0089,4.5413,33.406,0.008,62.698,0.2614,Hasya
-0.0149,29.8579,33.836,0.0049,63.2642,0.567,Shanta
3.7739,78.1416,30.184,0.0111,62.5543,6.3223,Bhayanaka
4.3685,155.8261,33.619,0.0099,62.434,0.543,Bhayanaka
0.0462,6.7436,30.552,0.0108,65.6216,0.1249,Shanta
-0.9682,37.247,30.31,0.0,63.8128,0.4647,Shanta
-1.8057,56.4917,32.446,0.008,64.5179,1.4502,Bhayanaka
0.2317,2.209,30.928,0.0108,65.0501,0.4041,Shanta
-0.1401,20.3993,33.41,0.0,62.5033,0.7937,Bhayanaka
0.0965,12.5894,29.603,0.0095,63.086,0.3972,Shanta
-0.2142,6.322,33.41,0.0126,62.7556,0.3963,Hasya
-1.1734,43.9996,32.067,0.0145,65.3924,2.7541,Bhayanaka
0.4627,46.4648,32.792,0.006,64.3611,0.3974,Hasya
0.4784,16.1567,31.984,0.0174,64.5677,0.3196,Hasya
-0.4788,14.9927,34.49,0.011,62.9296,0.4924,Shanta
-1.1025,26.6287,33.794,0.015,62.3344,0.396,Shanta
-2.7343,53.5513,32.822,0.0098,64.4772,0.2696,Hasya
0.9683,20.4875,32.406,0.015,64.7445,0.5332,Hasya
-0.0851,3.474,32.474,0.012,62.9065,0.9545,Bhayanaka
-0.065,7.1535,33.37,0.0,63.0982,0.2629,Shanta
0.5513,29.5547,33.43,0.0,63.1929,0.1722,Hasya
0.1975,5.8068,33.144,0.0092,64.575,0.3579,Shanta
0.7854,29.3689,33.768,0.006,62.9758,0.3647,Shanta
-0.1568,29.8966,32.776,0.0092,64.4606,0.306,Hasya
-1.5844,86.0892,33.776,0.0092,63.1782,2.9992,Shanta
0.7217,14.6732,31.727,0.0095,64.6436,0.251,Shanta
-1.0942,50.0736,32.744,0.0092,64.3282,0.1178,Hasya
-0.3727,15.4544,34.154,0.0049,63.1749,0.3636,Hasya
0.0273,4.195,30.237,0.0095,62.9798,0.3498,Hasya
-1.4748,51.308,33.442,0.0204,63.2744,0.2377,Hasya
-0.2583,12.1718,29.798,0.0098,62.7382,0.3394,Shanta
-0.4855,29.843,32.812,0.0125,64.7147,1.6341,Bhayanaka
-0.1532,2.4349,32.048,0.014,64.6645,0.3821,Bhayanaka
-0.0848,9.894,29.985,0.0087,62.9454,0.3923,Shanta
-0.0779,37.4751,32.997,0.0046,64.4227,0.46,Shanta
2.4925,34.2091,33.29,0.0126,63.0958,0.4165,Shanta
0.6958,17.102,33.152,0.004,62.8369,0.1507,Bhayanaka
-0.7067,20.5039,31.184,0.0092,63.0578,0.1188,Shanta
-0.1087,7.5307,34.258,0.016,62.8806,0.5395,Shanta
1.8494,32.292,34.954,0.008,62.6104,0.7197,Hasya
0.4108,11.379,32.488,0.0147,64.7502,0.3847,Shanta
-0.2037,10.3541,31.971,0.0134,64.3672,0.4807,Hasya
-0.196,52.1767,32.74,0.01,64.2671,0.1424,Hasya
-0.473,20.8345,35.035,0.015,62.6763,0.791,Hasya
0.7072,9.172,33.719,0.0099,63.0413,0.1444,Bhayanaka
0.1333,5.7354,32.418,0.0098,62.6173,0.6643,Hasya
0.2637,17.3886,33.58,0.0205,62.5983,0.7037,Shanta
-0.0101,7.8492,32.385,0.0087,64.345,0.5464,Bhayanaka
-4.1745,79.6075,32.212,0.006,64.4378,0.9123,Bhayanaka
0.7565,46.0201,34.882,0.0098,63.2866,2.5063,Shanta
2.6911,52.5727,32.752,0.006,64.1915,0.1617,Hasya
0.5795,14.9758,33.77,0.0,63.0398,0.4273,Bhayanaka
-0.0356,28.9602,32.518,0.0147,64.6525,1.5159,Bhayanaka
0.7033,18.4781,32.349,0.0137,62.6955,0.9711,Hasya
-0.0112,5.1444,30.266,0.008,62.8916,0.2602,Hasya
-0.1553,17.1617,34.107,0.0095,62.9946,0.2256,Hasya
-0.0094,11.6508,34.069,0.0134,62.4729,3.8366,Bhayanaka
0.2979,20.6549,34.509,0.0249,62.959,0.3791,Shanta
-0.044,3.8728,31.288,0.0125,62.9258,0.2033,Shanta
-0.9962,50.4922,32.772,0.014,64.4822,0.3059,Hasya
0.512,22.5923,33.31,0.0,63.1832,0.4167,Shanta
-0.3852,14.5586,33.1525,0.0043,62.8391,0.1528,Bhayanaka
0.5028,10.7499,30.866,0.015,62.7083,0.3548,Shanta
0.1448,15.0553,30.028,0.0125,62.8516,0.7998,Bhayanaka
-0.9536,16.178,34.086,0.008,62.968,0.0791,Shanta
3.2247,29.3078,33.286,0.0174,63.3701,1.7211,Bhayanaka
0.3388,15.1764,33.378,0.0098,62.7005,0.3785,Bhayanaka
-2.0694,47.9533,33.438,0.0183,63.2816,0.2405,Hasya
-0.0164,3.0774,30.094,0.008,62.8288,0.331,Hasya
0.7275,25.3463,33.538,0.016,63.0348,0.598,Hasya
0.2589,11.6184,32.882,0.0098,65.056,1.6496,Hasya
1.386,72.1716,32.5285,0.0222,65.1109,2.3998,Bhayanaka
-2.2726,54.2057,32.642,0.0098,65.4358,7.035,Shanta
-0.1607,13.1519,31.61,0.0126,62.89,0.4567,Hasya
0.0264,4.087,33.03,0.0,65.148,0.4077,Hasya
-0.5831,25.4909,33.326,0.008,62.8735,0.3928,Shanta
-0.0238,15.6234,29.958,0.0098,62.666,0.3041,Shanta
0.1936,31.7366,31.746,0.015,62.4917,0.601,Hasya
1.5513,24.0735,33.418,0.0098,63.3266,0.0851,Hasya
-1.26,24.6726,33.49,0.011,62.912,1.7256,Bhayanaka
-0.024,30.2218,33.847,0.0155,63.2557,0.539,Shanta
-0.1691,7.9238,31.22,0.0134,63.4117,0.1008,Hasya
0.1376,17.0073,34.109,0.0134,62.9862,0.243,Hasya
-0.0777,6.7391,32.918,0.0098,64.8775,0.3997,Hasya
-0.0702,3.7019,30.493,0.0071,63.3335,0.1725,Hasya
0.3235,8.5528,31.094,0.015,62.5419,2.166,Bhayanaka
0.682,26.6657,34.078,0.016,64.1894,0.3816,Shanta
1.3193,45.993,30.165,0.0087,62.8809,9.1253,Bhayanaka
0.4476,9.6459,30.155,0.0087,62.3761,0.6433,Bhayanaka
0.0705,4.7151,30.467,0.0193,63.3475,0.1118,Hasya
0.3389,28.0028,33.52,0.0173,62.8902,0.6761,Hasya
-0.0514,14.4916,31.746,0.008,62.3314,0.228,Hasya
-0.5022,17.1357,35.5135,0.0149,63.1774,0.0669,Shanta
-0.1003,5.103,32.398,0.016,62.6655,0.5413,Hasya
-0.5425,11.1735,30.76,0.0134,64.2981,0.3918,Hasya
11.2488,89.7905,34.066,0.008,62.9331,2.0623,Bhayanaka
0.1165,7.1409,32.642,0.0098,65.422,2.9522,Bhayanaka
-0.6418,8.9496,32.744,0.0092,62.9396,0.1972,Shanta
-0.0549,2.9703,30.682,0.0098,62.4433,0.5445,Bhayanaka
0.234,4.1742,30.85,0.0126,64.1404,0.6587,Hasya
0.3354,25.1222,32.936,0.0092,62.989,0.3765,Bhayanaka
0.948,17.518,32.442,0.0098,64.342,0.2464,Shanta
-1.0132,10.8553,30.106,0.008,62.7557,1.0436,Hasya
-0.1217,8.6326,31.02,0.01,62.867,0.3304,Hasya
0.0106,5.2902,33.406,0.008,62.6806,0.3725,Hasya
-1.2731,51.2946,32.76,0.0161,64.1377,0.2519,Hasya
-0.8285,26.4635,32.93,0.0126,65.1333,0.218,Shanta
2.7483,104.3878,32.982,0.0098,64.9275,11.0455,Bhayanaka
0.7204,25.5243,33.759,0.0099,62.8988,0.3879,Shanta
-0.6335,17.4038,35.2055,0.0107,63.2344,0.109,Shanta
0.3029,34.9928,33.072,0.006,64.3926,0.1914,Shanta
0.21,18.3776,33.232,0.0108,62.9843,1.1842,Bhayanaka
-9.4511,291.8725,33.772,0.0154,62.4261,0.6987,Bhayanaka
-0.9945,24.826,35.5135,0.0149,63.1274,0.1573,Shanta
0.294,11.2291,31.894,0.008,64.532,0.3404,Hasya
-0.3523,13.1389,32.87,0.0,64.903,0.9628,Hasya
0.096,2.872,32.71,0.0,65.4654,2.3928,Bhayanaka
1.0829,74.8172,33.55,0.0155,63.0839,2.2532,Bhayanaka
-0.7912,26.964,33.44,0.0134,63.0962,0.6163,Shanta
-0.7882,25.6757,33.942,0.0204,62.9181,0.5006,Shanta
0.3009,30.638,34.924,0.0092,62.6715,0.646,Hasya
-0.266,5.5096,30.962,0.0098,63.9567,0.3506,Hasya
-0.0899,17.9382,33.448,0.006,63.3202,0.3858,Shanta
-0.5853,56.1733,32.1525,0.0161,64.8166,5.5498,Shanta
-3.3542,94.7669,34.898,0.0098,64.2914,7.86,Hasya
-0.112,2.4028,30.738,0.0098,62.3978,0.7146,Bhayanaka
2.8743,50.167,32.75,0.0,64.1854,0.1458,Hasya
-0.547,25.5008,34.738,0.0098,62.8232,0.2306,Shanta
-0.062,7.2756,33.102,0.0098,62.8498,0.836,Hasya
0.021,12.8036,33.548,0.0108,64.0648,0.1497,Shanta
-0.4064,10.327,31.818,0.016,64.7256,0.7811,Hasya
-2.4084,22.5485,32.634,0.008,62.7005,0.3485,Bhayanaka
1.9449,102.8543,34.435,0.0087,63.1347,0.0051,Hasya
0.1795,2.9844,32.246,0.012,63.5304,7.6215,Bhayanaka
0.6213,41.0947,32.35,0.0167,65.3496,5.221,Bhayanaka
-0.0271,6.8578,34.198,0.0147,63.0227,0.9254,Shanta
1.8758,123.9181,32.044,0.0128,64.03,8.3624,Bhayanaka
-1.8914,30.132,29.362,0.016,63.7209,4.0697,Shanta
-0.3123,5.3509,30.341,0.0099,63.0095,0.1875,Hasya
-0.0233,5.6453,31.026,0.008,62.7817,0.0848,Shanta
-0.7984,36.7924,33.266,0.0196,67.5869,14.2145,Bhayanaka
-0.0154,2.1093,29.97,0.0126,62.85,0.3479,Hasya
-0.0658,4.6409,29.934,0.015,62.796,0.5546,Hasya
-0.1811,5.7685,31.993,0.0046,64.5553,0.568,Bhayanaka
0.2805,11.1893,34.09,0.0126,63.0225,0.3731,Hasya
0.047,3.8363,32.934,0.015,62.8429,0.3093,Bhayanaka
-5.8803,64.1036,32.598,0.0098,62.7508,0.4971,Bhayanaka
0.6469,17.7664,33.322,0.0125,63.0102,0.3133,Shanta
-0.7103,19.0065,34.22,0.01,63.041,0.5606,Shanta
-1.2096,17.6279,32.322,0.0125,62.9698,0.1815,Shanta
-1.4483,56.664,32.724,0.0092,64.2414,0.3609,Hasya
-0.6616,33.0008,34.66,0.0,62.9553,0.3732,Shanta
-2.6292,109.1778,33.458,0.016,63.424,12.9335,Bhayanaka
0.0605,13.0478,34.1585,0.0036,63.3285,0.3086,Hasya
-0.8285,29.1837,31.814,0.008,63.1079,0.3007,Shanta
-1.4487,15.8902,33.752,0.0087,62.7731,0.0327,Shanta
-0.5881,154.0051,34.382,0.0098,63.1677,1.8557,Shanta
-0.0317,5.3441,33.114,0.015,62.7803,0.0814,Hasya
-0.4159,31.7711,30.298,0.0098,64.0403,1.8298,Shanta
-0.4636,9.4884,30.109,0.0134,62.9743,0.2137,Bhayanaka
-1.3303,47.0306,32.79,0.0,64.4593,1.2558,Hasya
0.19,42.2008,31.33,0.0155,63.169,4.0472,Shanta
0.0117,6.2229,31.894,0.015,64.5647,0.2237,Hasya
0.1692,13.8845,32.738,0.0098,63.046,1.712,Bhayanaka
0.3311,10.2723,33.75,0.0126,62.7715,0.4143,Shanta
0.0897,4.1692,30.321,0.0099,62.9144,0.3046,Hasya
0.5583,11.989,31.09,0.0126,63.1972,0.1714,Hasya
-0.1715,53.1531,33.638,0.0098,63.2306,2.9523,Bhayanaka
5.067,100.3473,35.832,0.004,63.6329,4.3367,Shanta
1.1204,63.7868,33.95,0.0,62.7431,0.7895,Bhayanaka
-0.8967,27.525,31.98,0.0134,63.1626,0.1231,Shanta
-0.3123,9.6602,33.374,0.008,62.6902,0.4979,Bhayanaka
-0.3114,9.3288,30.84,0.01,62.4625,0.3736,Hasya
2.4347,71.2649,33.052,0.006,62.8087,0.6029,Bhayanaka
1.6134,32.1055,34.14,0.0126,63.1034,0.6244,Hasya
1.6442,20.658,34.016,0.022,63.287,0.4264,Shanta
0.0625,5.4356,30.298,0.0098,62.8709,0.239,Hasya
-0.1248,7.9868,30.262,0.0098,62.8556,0.1377,Shanta
0.5617,11.04,31.718,0.0098,62.2813,0.2001,Hasya
-0.2631,7.9889,32.345,0.0128,64.5125,0.5927,Bhayanaka
-1.211,17.6011,29.915,0.0153,62.3201,0.4496,Shanta
-0.2062,15.1928,33.398,0.016,62.7567,0.0411,Shanta
-1.2728,49.4834,33.738,0.0133,63.0435,2.0368,Bhayanaka
4.8142,168.5501,33.938,0.0098,62.4075,0.5851,Bhayanaka
0.635,17.575,33.618,0.0098,62.8698,0.2291,Bhayanaka
-0.0068,55.8002,34.366,0.0224,64.3115,6.7309,Shanta
-0.3146,26.856,33.532,0.006,62.7904,0.3085,Hasya
0.3043,39.565,29.678,0.0098,63.4471,4.3518,Shanta
2.1041,42.3854,32.496,0.0049,65.3944,7.4467,Bhayanaka
-0.1708,6.4039,30.636,0.0092,65.5219,0.1832,Shanta
0.2414,9.1284,32.768,0.014,62.8923,0.2218,Shanta
-0.1526,5.5341,31.554,0.008,65.1553,0.2762,Shanta
-0.0885,10.6318,34.114,0.008,62.9987,0.2131,Hasya
0.9163,28.5618,34.034,0.008,63.5767,0.4026,Hasya
-0.2262,10.2675,32.825,0.0102,65.341,0.3807,Shanta
0.1652,11.1478,30.106,0.008,62.746,1.0733,Hasya
-3.5001,50.0248,33.058,0.0098,62.8506,0.4503,Bhayanaka
3.8625,73.6441,33.489,0.0089,65.0707,0.5572,Shanta
0.4101,7.5742,31.982,0.0098,64.3165,0.4078,Hasya
-0.1131,3.1653,32.961,0.0099,64.9533,0.3664,Hasya
2.7574,27.4057,32.119,0.0205,65.4947,0.9305,Bhayanaka
0.0093,1.4612,33.174,0.0196,64.9171,0.497,Bhayanaka
-0.7852,15.7485,32.934,0.008,62.9769,1.1498,Bhayanaka
0.0077,50.6013,33.81,0.0,63.0487,7.6131,Bhayanaka
-0.0434,2.1305,32.006,0.012,64.5313,0.6411,Bhayanaka
-0.7126,14.0591,31.622,0.016,62.9269,0.4666,Hasya
-0.5013,41.0759,34.252,0.0166,63.4273,3.4428,Shanta
-0.0886,12.6194,34.09,0.0179,63.0319,0.303,Hasya
0.1392,3.7758,29.958,0.0098,62.8449,0.3889,Hasya
0.8229,16.8094,33.568,0.0108,62.8119,0.4494,Shanta
0.7596,42.5264,30.063,0.0095,62.8249,6.125,Shanta
0.1707,10.7874,35.456,0.0169,63.2648,0.0782,Shanta
0.5876,10.7097,31.212,0.006,63.4951,0.2096,Hasya
0.0891,51.3483,33.07,0.0,62.8567,1.6002,Bhayanaka
-0.028,10.246,31.056,0.0092,62.3308,0.3178,Shanta
-0.0533,4.2049,30.482,0.0098,63.1856,0.4678,Hasya
-0.2289,5.1266,30.626,0.008,65.6453,0.1576,Shanta
-0.1172,8.8742,29.826,0.008,62.93,0.2181,Shanta
0.1455,5.9867,30.926,0.008,62.5566,1.5531,Bhayanaka
-0.0095,2.9027,30.874,0.008,62.4115,0.5789,Bhayanaka
0.1744,23.7832,32.646,0.008,62.8643,0.7124,Bhayanaka
-3.326,67.2022,33.942,0.0098,63.007,1.3706,Bhayanaka
-0.2163,30.307,33.78,0.0134,63.2118,0.5276,Shanta
-0.4433,42.4288,34.066,0.008,63.2779,2.2527,Bhayanaka
-0.8715,21.419,34.934,0.008,62.8294,0.6004,Hasya
-0.6517,43.5725,33.737,0.0158,63.004,0.9089,Bhayanaka
-0.151,3.8848,33.583,0.0158,64.17,0.1577,Shanta
-2.2274,58.0057,32.77,0.0,64.5346,0.3004,Hasya
-1.2105,18.1457,32.758,0.0098,66.6759,7.9925,Bhayanaka
-0.526,11.5817,30.098,0.016,62.7462,2.3045,Hasya
-0.415,13.4287,31.2,0.01,63.4004,0.2473,Hasya
-0.0071,5.2896,32.544,0.0156,62.9885,0.6033,Bhayanaka
0.1101,14.8608,34.108,0.0125,63.354,0.2136,Hasya
1.2115,15.7477,30.09,0.0,63.1208,0.3742,Shanta
1.2094,92.1505,33.8335,0.0048,62.9133,0.6824,Bhayanaka
-0.0018,6.5733,30.922,0.0098,64.3801,0.3897,Hasya
-0.2714,111.3258,35.57,0.0126,64.0778,8.2095,Shanta
-1.8443,21.9886,34.898,0.0183,62.7669,0.3893,Hasya
1.0187,25.7323,33.886,0.012,63.0283,0.4644,Shanta
0.2991,5.7921,33.043,0.0095,65.1462,0.3179,Hasya
-0.3878,30.4613,33.009,0.0137,64.5433,2.008,Shanta
0.2833,12.0754,33.586,0.012,63.9511,0.2658,Shanta
-0.0469,6.3453,32.887,0.0095,65.0579,0.3521,Hasya
3.2609,45.5948,33.262,0.0098,62.9359,0.3502,Shanta
2.1177,31.9491,33.052,0.006,64.6467,0.3499,Shanta
0.4323,7.2024,33.803,0.0158,62.7749,0.0399,Shanta
-0.1237,5.5075,33.142,0.0098,62.759,0.0796,Hasya
0.5726,34.1651,32.834,0.0049,65.5311,0.3578,Shanta
